,Representation
0,"['to', 'the', 'is', 'of', 'and', 'for', 'in', 'you', 'it', 'that']"
1,"['game', 'team', 'games', 'he', 'players', 'season', 'hockey', 'play', '25', 'year']"
2,"['key', 'clipper', 'chip', 'encryption', 'keys', 'escrow', 'government', 'nsa', 'algorithm', 'be']"
3,"['drive', 'scsi', 'drives', 'ide', 'disk', 'controller', 'hard', 'scsi2', 'bios', 'bus']"
4,"['nan', '', '', '', '', '', '', '', '', '']"
5,"['israel', 'israeli', 'arab', 'arabs', 'jews', 'palestinian', 'palestinians', 'jewish', 'gaza', 'israelis']"
6,"['dod', 'bike', 'ride', 'riding', 'my', 'you', 'lane', 'car', 'road', 'your']"
7,"['ram', 'drive', 'sale', 'price', 'os', 'pc', 'monitor', 'ibm', 'card', 'system']"
8,"['jpeg', 'image', 'gif', 'format', 'images', 'file', 'files', 'color', 'quality', 'jfif']"
9,"['car', 'cars', 'mustang', 'v8', 'ford', 'engine', 'v6', 'audi', 'camaro', 'suspension']"
10,"['amp', 'audio', 'condition', 'asking', 'stereo', 'speakers', 'sale', 'offer', 'sony', 'amplifier']"
11,"['printer', 'print', 'hp', 'deskjet', 'ink', 'printers', 'laser', 'printing', 'paper', 'postscript']"
12,"['ites', 'hello', 'cheek', 'hi', 'yep', 'huh', 'ken', 'why', 'each', 'very']"
13,"['gun', 'guns', 'deaths', 'crime', 'firearms', 'weapons', 'criminals', 'concealed', 'carry', 'weapon']"
14,"['bike', 'bikes', 'miles', 'honda', 'motorcycle', 'engine', 'seat', 'shims', 'rear', 'cbr']"
15,"['atheists', 'atheism', 'god', 'belief', 'atheist', 'theism', 'beliefs', 'believe', 'religious', 'religion']"
16,"['hell', 'god', 'jesus', 'eternal', 'christ', 'heaven', 'he', 'life', 'faith', 'his']"
17,"['health', 'cancer', 'tobacco', 'hiv', 'cesarean', 'smokeless', '1993', 'malaria', 'newsletter', 'medical']"
18,"['armenian', 'armenians', 'turkish', 'genocide', 'turkey', 'istanbul', 'turks', 'armenia', 'were', 'russian']"
19,"['fire', 'gas', 'fbi', 'tear', 'bds', 'building', 'cs', 'fires', 'started', 'compound']"
20,"['window', 'widget', 'application', 'event', 'expose', 'dialog', 'null', 'events', 'button', 'widgets']"
21,"['moral', 'morality', 'objective', 'immoral', 'hudson', 'morals', 'society', 'is', 'subjective', 'what']"
22,"['monitor', 'monitors', 'vga', 'nec', 'video', 'sync', 'sony', '17', 'nanao', 'trinitron']"
23,"['den', 'polygon', 'points', 'algorithm', 'xxxx', 'sphere', 'plane', 'polygons', 'edge', 'radius']"
24,"['simms', 'simm', 'vram', 'ram', 'meg', 'dram', 'memory', '256k', 'quadra', '950']"
25,"['islam', 'quran', 'islamic', 'rushdie', 'muslims', 'muhammad', 'book', 'muslim', 'allah', 'prophethood']"
26,"['doctor', 'cancer', 'patients', 'medical', 'medicine', 'candida', 'disease', 'jb', 'treatment', 'doctors']"
27,"['serbs', 'muslims', 'stephanopoulos', 'mr', 'bosnia', 'bosnian', 'president', 'croats', 'muslim', 'serbian']"
28,"['jews', 'nazis', 'nazi', 'hitler', 'german', 'holocaust', 'jewish', 'judaism', 'were', 'germany']"
29,"['games', 'joystick', 'sega', 'game', 'snes', 'genesis', 'arcade', 'super', '525', 'offer']"
30,"['paradox', 'files', 'stuffit', 'system', 'ftp', 'disk', 'software', 'file', 'borland', 'windows']"
31,"['symbol', 'error', 'undefined', 'libxmulibxmuso', 'doug', 'liblibx11so', 'libxmulibxmua', 'gcc', 'parse', 'undeclared']"
32,"['windows', 'mbytes', 'dos', 'ms', 'mouse', 'tcpip', 'dosdosdosdosdosdosdosdosdosdosdosdosdos', 'higher', 'vendor', 'operating']"
33,"['remote', 'server', 'display', 'rx', 'xterm', 'xdm', 'xb', 'shell', 'login', 'echo']"
34,"['pain', 'migraine', 'diet', 'cancer', 'drug', 'migraines', 'cholesterol', 'disease', 'health', 'fat']"
35,"['3d', 'grafsys', 'graphics', 'avs', '3ds', 'package', 'library', 'animation', 'shading', 'prj']"
36,"['msg', 'food', 'chinese', 'foods', 'corn', 'taste', 'glutamate', 'eat', 'seizure', 'sick']"
37,"['modem', 'fax', 'modems', 'courier', 'v32bis', 'baud', 'bps', 'ccitt', 'hst', 'v42bis']"
38,"['pom', 'cds', 'dos', 'cd', 'sale', 'picture', 'sleeve1045', 'shipping', 'album', 'promopicture']"
39,"['homosexuality', 'homosexual', 'homosexuals', 'sex', 'paul', 'sin', 'christians', 'god', 'gay', 'that']"
40,"['koresh', 'batf', 'fbi', 'compound', 'children', 'they', 'agents', 'bd', 'koreshs', 'followers']"
41,"['sky', 'advertising', 'billboard', 'billboards', 'light', 'space', 'moon', 'pollution', 'orbit', 'night']"
42,"['gre', 'test', 'explanations', 'economics', 'woof', 'ets', 'cliffs', 'tests', 'includes', 'ditto']"
43,"['tax', 'administration', 'senior', 'russia', 'official', 'funds', 'taxes', 'we', 'income', 'russian']"
44,"['bolick', 'maddi', 'hausmann', 'nickname', 'smileys', 'smiley', 'nicknames', 'frank', 'joke', 'tammy']"
45,"['batf', 'warrant', 'raid', 'fbi', 'compound', 'they', 'assault', 'agents', 'davidians', 'serve']"
46,"['kinsey', 'sex', 'men', 'gay', 'sexual', 'homosexual', 'partners', 'reisman', 'kinseys', 'male']"
47,"['os2', 'windows', 'nt', 'apps', 'run', 'dos', 'os', 'beta', 'unix', '31']"
48,"['entry', 'oname', 'file', 'ripem', 'key', 'char', 'des', 'output', 'program', 'stream']"
49,"['science', 'theory', 'universe', 'larsons', 'larson', 'of', 'methodology', 'scientific', 'physical', 'atoms']"
50,"['moon', 'lunar', 'prize', 'billion', 'money', 'cost', 'basalts', 'apollo', 'base', 'luna']"
51,"['mary', 'her', 'she', 'bernadette', 'sin', 'maria', 'priest', 'conception', 'god', 'church']"
52,"['jehovah', 'elohim', 'lord', 'mormon', 'mcconkie', 'church', 'god', 'christ', 'unto', 'mormons']"
53,"['candida', 'yeast', 'infection', 'gonorrhea', 'infections', 'medical', 'yogurt', 'systemic', 'health', 'child']"
54,"['radar', 'detector', 'detectors', 'ka', 'traffic', 'pavement', 'car', 'throttle', 'band', 'wideband']"
55,"['diesel', 'diesels', 'fuel', 'emissions', 'oil', 'r12', 'substitutes', 'silver', 'solder', 'engines']"
56,"['copy', 'protection', 'program', 'backup', 'disk', 'software', 'pirates', 'disks', 'user', 'users']"
57,"['hst', 'reboost', 'mission', 'shuttle', 'orbit', 'mass', 'oms', 'arrays', 'launch', 'altitude']"
58,"['wax', 'paint', 'plastic', 'scratches', 'car', 'finish', 'acetone', 'solvent', 'remove', 'stuff']"
59,"['mouse', 'driver', 'mice', 'ball', 'problem', 'serial', 'mousecom', 'apple', 'windows', 'trackball']"
60,"['reno', 'waco', 'president', 'federal', 'janet', 'fbi', 'attorney', 'she', 'compound', 'gas']"
61,"['insurance', 'geico', 'car', 'accident', 'rates', 'company', 'sue', 'state', 'pay', 'farm']"
62,"['militia', 'amendment', 'arms', 'bear', 'right', 'constitution', 'second', 'keep', 'sentence', 'people']"
63,"['were', 'armenians', 'they', 'azerbaijan', 'her', 'was', 'she', 'said', 'armenian', 'had']"
64,"['post', 'posts', 'you', 'freeman', 'sarcasm', 'your', 'sarcastic', 'irony', 'bobby', 'yourself']"
65,"['kuwait', 'iraq', 'iran', 'gulf', 'arabia', 'saudi', 'sheikh', 'war', 'iraqi', 'kuwaiti']"
66,"['greek', 'greece', 'turkish', 'greeks', 'turks', 'cyprus', 'aiu', 'salonica', 'jews', 'minority']"
67,"['miles', 'toyota', 'car', 'condition', 'amfm', 'interior', 'cassette', 'stereo', 'power', 'excellent']"
68,"['drugs', 'drug', 'cocaine', 'marijuana', 'users', 'illegal', 'heroin', 'lsd', 'alcohol', 'cigarettes']"
69,"['battery', 'batteries', 'concrete', 'discharge', 'temperature', 'electrolyte', 'reaction', 'leadacid', 'charging', 'heat']"
70,"['drivers', 'driver', 'card', 'svga', 'cirrus', 'windows', 'bitblaster', 'vl24', 'ftp', 'gibsons']"
71,"['oort', 'grbs', 'cloud', 'gamma', 'burst', 'distribution', 'bursts', 'galaxy', 'neutron', 'mechanism']"
72,"['antenna', 'circuits', 'rf', 'design', 'antennas', 'mixer', 'radio', 'cable', 'receiver', 'theory']"
73,"['book', 'books', 'anania', 'shirak', 'orbeli', 'scrolls', 'qumran', 'ks', 'tyukhik', 'armenian']"
74,"['god', 'exist', 'existence', 'evidence', 'why', 'evolution', 'genetic', 'exists', 'science', 'universe']"
75,"['books', 'canon', 'scripture', 'hebrew', 'testament', 'bible', 'texts', 'greek', 'septuagint', 'apocrypha']"
76,"['motif', 'bindings', 'multicolumn', 'code', 'widgets', 'list', 'cosecomplient', 'toolkit', 'release', 'interviews']"
77,"['schools', 'silence', 'moment', 'religion', 'cult', 'christian', 'prayer', 'catholic', 'public', 'religious']"
78,"['hotel', 'voucher', 'package', 'vacation', 'room', 'airfare', 'nights', 'bedroom', 'meals', 'offer']"
79,"['penalty', 'cruel', 'punishment', 'death', 'murder', 'capital', 'crime', 'innocent', 'system', 'execution']"
80,"['trial', 'cooper', 'spence', 'boomer', 'witnesses', 'cement', 'court', 'plaintiffs', 'atlantic', 'plant']"
81,"['memory', 'windows', 'swap', 'emm386', 'resources', 'virtual', 'running', 'ram', 'disk', 'ndw']"
82,"['dog', 'dogs', 'bike', 'chase', 'trained', 'riding', 'me', 'my', 'advantages', 'road']"
83,"['clutch', 'shift', 'transmission', 'gear', 'shifting', 'gears', 'automatic', 'automatics', 'car', 'auto']"
84,"['government', 'libertarians', 'libertarian', 'regulation', 'libertarianism', 'party', 'society', 'european', 'third', 'parliament']"
85,"['water', 'dept', 'phd', 'energy', 'environmental', 'meteorologist', 'atmospheric', 'fuels', 'global', 'atmosphere']"
86,"['ra', 'satan', 'god', 'thou', 'lucifer', 'thy', 'thee', 'bible', 'angels', 'ye']"
87,"['tape', 'backup', 'tapes', 'drive', 'device', 'wangdat', 'munroe', '4mm', '65000', '8mm']"
88,"['mhz', 'bus', '486dx250', 'speed', 'cache', '486', '50mhz', 'cpu', 'chrms', 'faster']"
89,"['net', 'usenet', 'internet', 'advertising', 'mail', 'cnn', 'letter', 'address', 'house', 'mci']"
90,"['hacker', 'computer', 'hackers', 'ethic', 'cs', 'engineering', 'programming', 'programmer', 'software', 'gates']"
91,"['modem', 'dce', 'cts', 'dtr', 'serial', 'dte', 'rts', 'null', 'dsr', 'dcd']"
92,"['fan', 'cpu', 'heat', 'sink', 'fans', 'cooling', 'chip', 'hot', 'cooler', 'supply']"
93,"['kirlian', 'photography', 'leaf', 'pictures', 'krillean', 'aura', 'fields', 'object', 'plates', 'corona']"
94,"['probe', 'mars', 'launch', 'spacecraft', 'mission', 'probes', 'orbit', 'solar', 'venus', 'lunar']"
95,"['aaron', 'baptism', 'sin', 'god', 'faith', 'infants', 'sinful', 'grace', 'sins', 'child']"
96,"['deleted', 'stuff', 'hurts', 'deletion', 'stop', 'trippy', 'unsignalled', '7080', 'aph', 'lostsa']"
97,"['mhz', 'clock', 'fpu', 'cpu', 'operational', 'sink', 'oscillator', 'heat', 'speed', '25']"
98,"['countersteering', 'bike', 'lean', 'technique', 'turn', 'riding', 'motorcycle', 'rider', 'left', 'steer']"
99,"['marriage', 'married', 'marry', 'ceremony', 'marriages', 'commitment', 'church', 'wife', 'couple', 'eternal']"
100,"['duo', 'clock', 'date', 'bios', 'battery', 'dos', 'system', 'midnight', 'menu', 'problem']"
101,"['insurance', 'health', 'private', 'care', 'canada', 'canadian', 'doctors', 'public', 'coverage', 'our']"
102,"['lock', 'kryptonite', 'cable', 'locks', 'bike', 'abus', '600', 'cobra', 'ulock', 'steel']"
103,"['graphics', 'ray', '3d', 'widget', 'rayshade', 'mail', 'send', 'resource', 'objects', 'converter']"
104,"['fonts', 'font', 'tt', 'truetype', 'atm', 'character', 'characters', 'type', 'windows', 'adobe']"
105,"['panicking', 'gritz', 'clinton', 'quayle', 'bush', 'duke', 'authur', 'garrettingrescom', 'bearings', 'snapped']"
106,"['scanner', 'logitech', 'ocr', 'scanners', 'scanman', 'grayscale', 'dpi', 'software', 'winfax', 'gray']"
107,"['dealer', 'price', 'saturn', 'std', 'car', 'invoice', 'sales', 'dealership', 'prices', 'cost']"
108,"['irq', 'port', 'ports', 'com3', 'com', 'com1', 'modem', 'serial', 'com4', 'irqs']"
109,"['1st', 'wolverine', 'comics', 'hulk', 'art', 'appears', 'spiderman', 'liefeld', 'sabretooth', 'cover']"
110,"['dos', 'cluster', 'fat', 'drive', 'doubledisk', 'disk', 'windows', 'file', 'stacker', 'files']"
111,"['data', 'ftp', 'image', 'images', 'available', 'grass', 'sgi', 'pci', 'visualization', 'package']"
112,"['prophecy', 'prophecies', 'revelation', 'scripture', 'lord', 'prophesies', 'babylon', 'god', 'prophet', 'historical']"
113,"['homosexuals', 'enviroleague', 'gay', 'sexual', 'orientation', 'bsa', 'clayton', 'hire', 'laws', 'homosexual']"
114,"['monitor', 'off', 'turn', 'computer', 'electricity', 'power', 'consumption', 'computers', 'turning', 'saver']"
115,"['gc', 'mydisplay', 'draw', 'drawing', 'color', 'gxxor', 'lines', 'window', 'foreground', 'colormap']"
116,"['xv', 'copyright', 'donation', 'shareware', 'john', 'author', 'institutional', 'fee', 'permission', 'notice']"
