,Representation
0,"['the', 'of', 'to', 'and', 'in', 'is', 'are', 'coronavirus', 'for', 'on']"
1,"['puzzle', 'debut', 'crossword', 'makes', 'sunday', 'saturday', 'solving', 'us', 'times', 'agard']"
2,"['music', 'album', 'jazz', 'songs', 'singer', 'pop', 'musicians', 'composer', 'rock', 'musician']"
3,"['soup', 'dish', 'recipes', 'this', 'simple', 'cake', 'creamy', 'salad', 'pasta', 'meal']"
4,"['species', 'birds', 'scientists', 'animals', 'humans', 'ancient', 'dogs', 'sea', 'lesson', 'animal']"
5,"['museum', 'art', 'artists', 'museums', 'artist', 'exhibition', 'works', 'gallery', 'galleries', 'painting']"
6,"['president', 'trump', 'trumps', 'coronavirus', 'virus', 'health', 'white', 'presidents', 'response', 'house']"
7,"['vaccine', 'vaccines', 'doses', 'pfizer', 'trials', 'covid19', 'coronavirus', 'shots', 'vaccinated', 'shot']"
8,"['restaurants', 'dining', 'food', 'restaurant', 'outdoor', 'indoor', 'delivery', 'hunger', 'york', 'pandemic']"
9,"['biden', 'joe', 'bidens', 'president', 'he', 'democrats', 'vice', 'his', 'win', 'presidency']"
10,"['books', 'book', 'novel', 'fiction', 'read', 'reading', 'writers', 'writer', 'library', 'poetry']"
11,"['review', 'movie', 'her', 'actor', 'star', 'actress', 'hollywood', 'comedy', 'dies', 'films']"
12,"['children', 'parents', 'child', 'parenting', 'kids', 'pandemic', 'mothers', 'families', 'care', 'autism']"
13,"['fashion', 'designers', 'designer', 'wear', 'clothes', 'mens', 'brand', 'gen', 'collections', 'makeup']"
14,"['nyc', 'updates', 'latest', 'cuomo', 'mayor', 'york', 'blasio', 'city', 'coronavirus', 'virus']"
15,"['sanders', 'bernie', 'democratic', 'carolina', 'nomination', 'win', 'biden', 'primary', 'sanderss', 'he']"
16,"['diary', 'reader', 'tales', 'metropolitan', 'weeks', 'york', 'city', 'street', 'more', 'new']"
17,"['writing', 'teenage', 'invitation', 'prompts', 'ongoing', 'conversation', 'comments', 'join', 'contest', 'students']"
18,"['climate', 'environmental', 'change', 'fossil', 'warming', 'emissions', 'energy', 'fuel', 'epa', 'administration']"
19,"['iran', 'iranian', 'suleimani', 'irans', 'nuclear', 'qassim', 'strike', 'killing', 'missiles', 'military']"
20,"['china', 'wuhan', 'chinas', 'chinese', 'xi', 'beijing', 'coronavirus', 'outbreak', 'jinping', 'communist']"
21,"['stocks', 'stock', 'market', 'investors', 'news', 'business', 'outbreak', 'wall', 'latest', 'street']"
22,"['masks', 'mask', 'wear', 'wearing', 'face', 'protective', 'coverings', 'gear', 'doctors', 'workers']"
23,"['theater', 'theaters', 'broadway', 'movie', 'stage', 'audiences', 'plays', 'shows', 'productions', 'streaming']"
24,"['facebook', 'twitter', 'media', 'news', 'social', 'zuckerberg', 'facebooks', 'platforms', 'misinformation', 'company']"
25,"['baseball', 'astros', 'mets', 'cheating', 'dodgers', 'baseballs', 'sox', 'players', 'houston', 'scandal']"
26,"['nfl', 'chiefs', 'week', 'picks', 'quarterback', 'predictions', 'brady', 'steelers', 'draft', 'season']"
27,"['restaurant', 'chef', 'food', 'cuisine', 'cooking', 'recipes', 'meal', 'brooklyn', 'dishes', 'cookbooks']"
28,"['trump', 'donald', 'president', 'he', 'his', 'presidents', 'trumps', 'himself', 'nation', 'hes']"
29,"['christmas', 'holiday', 'thanksgiving', 'holidays', 'year', 'families', 'traditions', 'this', 'celebrate', 'family']"
30,"['mars', 'earth', 'space', 'astronomers', 'asteroid', 'solar', 'mission', 'planet', 'spacecraft', 'nasa']"
31,"['subway', 'bus', 'yorkers', 'transit', 'cars', 'riders', 'city', 'trains', 'subways', 'new']"
32,"['reopen', 'reopening', 'states', 'governors', 'cases', 'businesses', 'economy', 'experts', 'texas', 'restrictions']"
33,"['impeachment', 'trial', 'senate', 'managers', 'senators', 'witnesses', 'charges', 'president', 'trumps', 'house']"
34,"['college', 'colleges', 'students', 'campus', 'universities', 'university', 'admissions', 'campuses', 'sat', 'classes']"
35,"['wine', 'wines', 'bottles', 'sommeliers', 'champagne', 'different', 'these', '20', 'reds', 'producers']"
36,"['sports', 'soccer', 'league', 'leagues', 'fans', 'champions', 'athletes', 'europes', 'teams', 'youth']"
37,"['weinstein', 'harvey', 'weinsteins', 'trial', 'sex', 'jurors', 'jury', 'sexual', 'convicted', 'guilty']"
38,"['dance', 'ballet', 'dancers', 'dancing', 'nutcracker', 'dances', 'choreographer', 'festival', 'lincoln', 'principal']"
39,"['harris', 'kamala', 'mate', 'ticket', 'running', 'harriss', 'woman', 'bidens', 'joe', 'vicepresidential']"
40,"['nba', 'basketball', 'coach', 'lakers', 'bubble', 'players', 'nbas', 'season', 'league', 'team']"
41,"['california', 'homes', 'san', 'house', 'million', 'los', 'angeles', 'spanishstyle', 'cottage', 'bungalow']"
42,"['unemployment', 'jobless', 'claims', 'benefits', 'job', 'million', 'jobs', 'layoffs', 'unemployed', 'losses']"
43,"['russian', 'intelligence', 'russia', 'hackers', 'agencies', 'hacking', 'homeland', 'security', 'hacked', 'interference']"
44,"['floyd', 'george', 'police', 'minneapolis', 'floyds', 'protests', 'death', 'protest', 'protesters', 'officers']"
