,Representation
0,"['the', 'of', 'and', 'to', 'in', 'is', 'as', 'that', 'by', 'was']"
1,"['album', 'band', 'albums', 'music', 'released', 'song', 'records', 'songs', 'vocals', 'guitar']"
2,"['turkey', 'district', 'province', 'turkish', 'town', 'ankara', 'populated', 'city', 'places', 'population']"
3,"['film', 'films', 'he', 'his', 'her', 'she', 'actors', 'was', 'as', 'directed']"
4,"['cardiff', 'village', 'aberdeen', 'parish', 'house', 'county', 'belfast', 'the', 'of', 'area']"
5,"['novels', 'her', 'his', 'novel', 'he', 'book', 'published', 'she', 'books', 'writers']"
6,"['he', 'lincoln', 'confederate', 'his', 'clinton', 'republican', 'states', 'was', 'franklin', 'war']"
7,"['olympics', 'winter', 'olympic', 'championships', 'medalists', 'skating', 'world', 'skaters', 'medal', 'she']"
8,"['is', 'function', 'if', 'numbers', 'set', 'theorem', 'algebra', 'be', 'functions', 'can']"
9,"['orchestra', 'symphony', 'music', 'opera', 'op', 'piano', 'composers', 'philharmonic', 'salieri', 'his']"
10,"['he', 'his', 'einstein', 'german', 'auschwitz', 'was', 'speer', 'theory', 'of', 'in']"
11,"['japanese', 'her', 'manga', 'saber', 'film', 'she', 'dragon', 'anime', 'japan', 'character']"
12,"['cell', 'cells', 'proteins', 'acid', 'are', 'dna', 'amino', 'can', 'protein', 'acids']"
13,"['basel', 'town', 'alps', 'district', 'rhinewestphalia', 'municipality', 'bamberg', 'germany', 'switzerland', 'alpine']"
14,"['concrete', 'or', 'used', 'angular', 'momentum', 'bitumen', 'is', 'are', 'can', 'bikini']"
15,"['games', 'game', 'video', 'characters', 'fighters', 'playstation', 'arcade', 'player', 'gameplay', 'blizzard']"
16,"['american', 'politician', 'player', 'english', 'author', 'actor', 'french', 'footballer', 'actress', 'singersongwriter']"
17,"['wales', 'electoral', 'australia', 'seat', 'election', 'shire', 'constituencies', 'establishments', 'south', 'legislative']"
18,"['chinese', 'china', 'confucius', 'dynasty', 'confucian', 'confucianism', 'kong', 'taiwan', 'han', 'hong']"
19,"['carbon', 'atomic', 'electron', 'atoms', 'compounds', 'decay', 'elements', 'is', 'electrons', 'aluminium']"
20,"['football', 'nfl', 'players', 'coach', 'yards', 'he', 'season', 'career', 'coaches', 'defensive']"
21,"['family', 'nepeta', 'species', 'olearia', 'plants', 'order', 'benth', 'superorder', 'plant', 'flowers']"
22,"['aircraft', 'air', 'missile', 'gun', 'missiles', 'artillery', 'force', 'tank', 'boeing', 'guns']"
23,"['croatia', 'croatian', 'bosnia', 'czech', 'bulgaria', 'azerbaijan', 'herzegovina', 'republic', 'bulgarian', 'albania']"
24,"['chile', 'colombia', 'costa', 'brazil', 'rica', 'country', 'brazilian', 'belize', 'government', 'of']"
25,"['cricketers', 'bangladesh', 'cricket', 'bangladeshi', 'dhaka', 'jadeja', 'trophy', 'he', 'against', 'match']"
26,"['party', 'disraeli', 'bnp', 'labour', 'liberal', 'attlee', 'ireland', 'british', 'mps', 'conservative']"
27,"['school', 'schools', 'high', 'students', 'program', 'girls', 'elementary', 'district', 'boys', 'academy']"
28,"['beer', 'alcohol', 'yeast', 'brewing', 'tea', 'aa', 'alcoholism', 'bubble', 'beers', 'drinking']"
29,"['ibn', 'muhammad', 'abd', 'abu', 'bah', 'bakr', 'abdulbah', 'his', 'alrahman', 'banu']"
30,"['star', 'stars', 'universe', 'magnitude', 'astrology', 'constellation', 'constellations', 'asteroids', 'asteroid', 'centauri']"
31,"['newspapers', 'newspaper', 'weekly', 'daily', 'published', 'news', 'list', 'georgia', 'gazeta', 'capital']"
32,"['league', 'division', 'club', 'football', 'premier', 'midland', 'cup', 'clubs', 'season', 'midlands']"
33,"['language', 'memory', 'programming', 'software', 'storage', 'data', 'code', 'computer', 'compiler', 'windows']"
34,"['law', 'court', 'or', 'courts', 'person', 'crime', 'police', 'capitalism', 'common', 'officer']"
35,"['birds', 'species', 'prey', 'buzzards', 'bird', 'breeding', 'owl', 'eagles', 'nest', 'bald']"
36,"['bs', 'standards', 'iec', 'safety', 'standard', 'ansi', 'bsi', 'code', '61508', 'specification']"
37,"['copenhagen', 'aarhus', 'danish', 'denmark', 'birka', 'bornholm', 'municipality', 'city', 'village', 'norway']"
38,"['bengal', 'bangladesh', 'tamil', 'india', 'sri', 'bengali', 'indian', 'tamils', 'jaffna', 'kashmir']"
39,"['book', 'bible', 'god', 'hebrew', 'books', 'israel', 'mormon', 'testament', 'jerusalem', 'chapters']"
40,"['cameroon', 'botswana', 'chad', 'africa', 'burkina', 'african', 'country', 'faso', 'angola', 'algeria']"
41,"['stadium', 'korean', 'venues', 'chung', 'korea', 'kim', 'japan', 'sports', 'tigers', 'suwon']"
42,"['oblast', 'district', 'lebyazhye', 'russia', 'localities', 'settlement', 'village', 'rural', 'selsoviet', 'locality']"
43,"['baseball', 'league', 'ruth', 'sox', 'season', 'players', 'yankees', 'braves', 'team', 'series']"
44,"['league', 'manchester', 'cup', 'division', 'win', 'united', 'arsenal', 'fa', 'season', 'liverpool']"
45,"['hockey', 'field', 'olympics', 'australia', 'players', 'summer', 'medalists', 'olympic', 'commonwealth', 'australian']"
46,"['albert', 'her', 'duke', 'queen', 'sophie', 'she', 'frederick', 'amalie', 'king', 'arnulf']"
47,"['islands', 'island', 'cayman', 'cay', 'bermuda', 'barbados', 'bahamas', 'british', 'aruba', 'caribbean']"
48,"['autism', 'disease', 'aphasia', 'plague', 'symptoms', 'treatment', 'may', 'brain', 'diagnosis', 'therapy']"
49,"['church', 'baptism', 'churches', 'anglican', 'god', 'prayer', 'christian', 'christ', 'faith', 'catholic']"
50,"['footballers', 'primera', 'torres', 'players', 'club', 'divisin', 'copa', 'mens', 'argentine', 'team']"
