,Representation,Count
0,"['the', 'of', 'to', 'and', 'in', 'is', 'for', 'are', 'on', 'pandemic']",6969
1,"['recipes', 'chef', 'dish', 'soup', 'simple', 'this', 'meal', 'dishes', 'dinner', 'restaurant']",381
2,"['species', 'birds', 'scientists', 'animals', 'humans', 'ancient', 'sea', 'dogs', 'bees', 'lesson']",220
3,"['president', 'trump', 'trumps', 'coronavirus', 'virus', 'health', 'white', 'response', 'presidents', 'republicans']",218
4,"['museum', 'art', 'artists', 'museums', 'artist', 'gallery', 'works', 'exhibition', 'painting', 'paintings']",188
5,"['facebook', 'twitter', 'media', 'conspiracy', 'social', 'qanon', 'news', 'theory', 'newspaper', 'tweets']",183
6,"['vaccine', 'vaccines', 'doses', 'pfizer', 'trials', 'covid19', 'coronavirus', 'shots', 'vaccinated', 'shot']",174
7,"['biden', 'joe', 'bidens', 'president', 'joseph', 'presidentelect', 'democrats', 'jr', 'trump', 'democratic']",151
8,"['climate', 'oil', 'environmental', 'change', 'epa', 'fossil', 'energy', 'emissions', 'warming', 'fuel']",129
9,"['trump', 'president', 'trumps', 'he', 'presidents', 'his', 'threats', 'presidency', 'nation', 'donald']",116
10,"['holiday', 'christmas', 'thanksgiving', 'holidays', 'year', 'halloween', 'traditions', 'families', 'this', 'celebrate']",115
11,"['nyc', 'updates', 'latest', 'york', 'cuomo', 'coronavirus', 'virus', 'governor', 'city', 'mayor']",114
12,"['children', 'parents', 'parenting', 'child', 'kids', 'mothers', 'pandemic', 'care', 'families', 'autism']",111
13,"['masks', 'mask', 'wear', 'wearing', 'face', 'coverings', 'protective', 'medical', 'gear', 'workers']",107
14,"['books', 'book', 'novel', 'fiction', 'read', 'author', 'reading', 'novels', 'literary', 'biography']",107
15,"['diary', 'reader', 'tales', 'metropolitan', 'weeks', 'york', 'city', 'more', 'brooklyn', 'new']",105
16,"['iran', 'iranian', 'irans', 'nuclear', 'suleimani', 'strike', 'qassim', 'killing', 'military', 'missiles']",103
17,"['sanders', 'bernie', 'democratic', 'nomination', 'biden', 'mr', 'sanderss', 'carolina', 'win', 'he']",101
18,"['puzzle', 'sunday', 'saturday', 'solving', 'eatonsalners', 'alex', 'us', 'agard', 'guzzetta', 'erik']",100
19,"['theater', 'theaters', 'broadway', 'movie', 'stage', 'audiences', 'shows', 'plays', 'streaming', 'show']",100
20,"['fashion', 'designer', 'wear', 'designers', 'mens', 'clothes', 'crown', 'collections', 'week', 'chanel']",98
21,"['china', 'wuhan', 'chinas', 'chinese', 'beijing', 'xi', 'coronavirus', 'jinping', 'outbreak', 'communist']",96
22,"['stocks', 'stock', 'market', 'investors', 'news', 'business', 'outbreak', 'wall', 'latest', 'street']",95
23,"['reopen', 'reopening', 'governors', 'states', 'cases', 'businesses', 'economy', 'texas', 'governor', 'reopenings']",94
24,"['baseball', 'astros', 'mets', 'cheating', 'dodgers', 'baseballs', 'sox', 'houston', 'scandal', 'season']",93
25,"['nfl', 'chiefs', 'week', 'picks', 'quarterback', 'predictions', 'draft', 'brady', 'steelers', 'patriots']",84
26,"['impeachment', 'trial', 'senate', 'managers', 'senators', 'witnesses', 'charges', 'president', 'acquitted', 'trumps']",81
27,"['mars', 'space', 'earth', 'astronomers', 'asteroid', 'solar', 'spacecraft', 'mission', 'planet', 'nasa']",81
28,"['unemployment', 'jobless', 'claims', 'job', 'benefits', 'layoffs', 'jobs', 'million', 'losses', 'workers']",78
29,"['black', 'lives', 'racial', 'matter', 'white', 'racism', 'movement', 'activists', 'march', 'protests']",78
30,"['restaurants', 'dining', 'restaurant', 'outdoor', 'indoor', 'york', 'food', 'owners', 'takeout', 'delivery']",77
31,"['intelligence', 'russian', 'russia', 'hacking', 'hackers', 'agencies', 'homeland', 'security', 'hacked', 'interference']",74
32,"['weinstein', 'harvey', 'weinsteins', 'sex', 'trial', 'jurors', 'jury', 'case', 'sexual', 'convicted']",74
33,"['nba', 'basketball', 'coach', 'players', 'bubble', 'lakers', 'nbas', 'team', 'season', 'league']",74
34,"['wine', 'wines', 'bottles', 'sommeliers', 'champagne', 'different', 'these', '20', 'reds', 'producers']",73
35,"['college', 'colleges', 'students', 'campus', 'admissions', 'universities', 'campuses', 'university', 'sat', 'classes']",73
36,"['sports', 'soccer', 'fans', 'league', 'games', 'leagues', 'europes', 'champions', 'clubs', 'sport']",73
37,"['dance', 'ballet', 'dancers', 'dancing', 'nutcracker', 'dances', 'choreographer', 'festival', 'lincoln', 'principal']",73
38,"['schools', 'school', 'reopen', 'inperson', 'students', 'nyc', 'children', 'public', 'classrooms', 'parents']",70
