,Representation,Count
0,"['the', 'of', 'and', 'in', 'to', 'as', 'is', 'was', 'that', 'for']",2848
1,"['album', 'band', 'albums', 'music', 'released', 'records', 'song', 'songs', 'vocals', 'guitar']",477
2,"['turkey', 'district', 'province', 'town', 'turkish', 'ankara', 'populated', 'places', 'population', 'municipalities']",227
3,"['aberdeen', 'cardiff', 'village', 'parish', 'house', 'county', 'belfast', 'the', 'area', 'of']",208
4,"['law', 'or', 'court', 'that', 'act', 'be', 'to', 'of', 'is', 'not']",170
5,"['australian', 'australia', 'ballarat', 'adelaide', 'labor', 'south', 'election', 'hawke', 'wales', 'party']",128
6,"['orchestra', 'symphony', 'music', 'opera', 'op', 'piano', 'composers', 'philharmonic', 'salieri', 'violin']",113
7,"['olympics', 'winter', 'olympic', 'championships', 'skating', 'medalists', 'world', 'skaters', 'medal', 'speed']",112
8,"['bronx', 'route', 'station', 'railway', 'cr', 'rail', 'line', 'street', 'road', 'west']",108
9,"['basel', 'town', 'bonn', 'municipality', 'district', 'rhinewestphalia', 'germany', 'bamberg', 'city', 'born']",102
10,"['ainu', 'japanese', 'her', 'manga', 'she', 'film', 'japan', 'dragon', 'dorothy', 'anime']",100
11,"['novels', 'dickens', 'novel', 'his', 'her', 'book', 'he', 'story', 'books', 'published']",94
12,"['games', 'game', 'video', 'characters', 'fighters', 'arcade', 'playstation', 'player', 'blizzard', 'gameplay']",92
13,"['concrete', 'bitumen', 'used', 'or', 'bikini', 'bricks', 'are', 'climbing', 'materials', 'is']",87
14,"['botswana', 'cameroon', 'chad', 'african', 'africa', 'burkina', 'country', 'government', 'faso', 'president']",85
15,"['american', 'politician', 'player', 'english', 'author', 'actor', 'french', 'footballer', 'actress', 'singersongwriter']",82
16,"['numbers', 'algebra', 'is', 'if', 'set', 'theorem', 'function', 'algebraic', 'functions', 'theory']",80
17,"['chinese', 'china', 'confucius', 'dynasty', 'confucian', 'confucianism', 'kong', 'taiwan', 'han', 'hong']",77
18,"['audi', 'cars', 'engine', 'car', 'ford', 'bmw', 'aston', 'martin', 'engines', 'company']",72
19,"['family', 'nepeta', 'species', 'plants', 'olearia', 'order', 'benth', 'superorder', 'plant', 'flowers']",71
20,"['aircraft', 'air', 'missile', 'gun', 'missiles', 'artillery', 'force', 'tank', 'boeing', 'guns']",71
21,"['football', 'nfl', 'players', 'coach', 'yards', 'season', 'he', 'career', 'ryan', 'coaches']",70
22,"['croatia', 'croatian', 'bosnia', 'czech', 'herzegovina', 'bulgaria', 'azerbaijan', 'republic', 'bulgarian', 'european']",68
23,"['standards', 'bs', 'iec', 'ansi', 'safety', 'standard', 'evaluation', 'bsi', 'code', 'information']",67
24,"['films', 'film', 'he', 'lancaster', 'directed', 'actors', 'his', 'role', 'male', 'as']",66
25,"['cricketers', 'bangladesh', 'cricket', 'bangladeshi', 'dhaka', 'jadeja', 'trophy', 'match', 'against', 'icc']",61
26,"['school', 'schools', 'high', 'students', 'program', 'girls', 'elementary', 'boys', 'district', 'magnet']",59
27,"['star', 'stars', 'universe', 'astrology', 'magnitude', 'constellation', 'constellations', 'asteroids', 'asteroid', 'hole']",58
28,"['party', 'disraeli', 'bnp', 'liberal', 'labour', 'attlee', 'ireland', 'mps', 'conservative', 'election']",57
29,"['birds', 'species', 'prey', 'buzzards', 'ants', 'nest', 'bees', 'bird', 'are', 'breeding']",56
30,"['ibn', 'muhammad', 'abd', 'abu', 'bah', 'bakr', 'abdulbah', 'alrahman', 'his', 'banu']",56
31,"['chile', 'colombia', 'costa', 'brazil', 'rica', 'country', 'brazilian', 'belize', 'government', 'of']",55
32,"['antibiotics', 'dna', 'resistance', 'acid', 'bacteria', 'antibiotic', 'are', 'antimicrobial', 'can', 'reaction']",55
33,"['einstein', 'he', 'his', 'linnaeus', 'theory', 'lavoisier', 'sciences', 'university', 'pascal', 'grothendieck']",54
34,"['league', 'division', 'club', 'football', 'premier', 'midland', 'cup', 'clubs', 'season', 'midlands']",54
35,"['copenhagen', 'aarhus', 'danish', 'denmark', 'birka', 'bornholm', 'municipality', 'village', 'city', 'norway']",54
36,"['stadium', 'korean', 'korea', 'venues', 'chung', 'japan', 'sports', 'south', 'kim', 'tigers']",54
37,"['ships', 'displacement', 'fleet', 'tons', 'navy', 'class', 'ship', 'naval', 'aircraft', 'battleships']",52
38,"['disease', 'symptoms', 'aphasia', 'plague', 'autism', 'may', 'treatment', 'brain', 'patients', 'diagnosis']",51
39,"['book', 'bible', 'god', 'hebrew', 'books', 'israel', 'mormon', 'testament', 'jerusalem', 'chapters']",50
40,"['lincoln', 'clinton', 'goldwater', 'johnson', 'he', 'republican', 'senate', 'connecticut', 'his', 'states']",49
41,"['manchester', 'league', 'division', 'cup', 'win', 'united', 'liverpool', 'city', 'season', 'fa']",49
42,"['language', 'programming', 'software', 'storage', 'code', 'apl', 'compiler', 'memory', 'data', 'computer']",47
43,"['baseball', 'league', 'ruth', 'sox', 'players', 'yankees', 'braves', 'season', 'series', 'orioles']",47
44,"['oblast', 'district', 'lebyazhye', 'russia', 'localities', 'settlement', 'village', 'rural', 'selsoviet', 'locality']",47
45,"['albert', 'her', 'duke', 'queen', 'sophie', 'she', 'frederick', 'amalie', 'arnulf', 'king']",46
46,"['islands', 'island', 'cayman', 'cay', 'bermuda', 'barbados', 'bahamas', 'british', 'canary', 'virgin']",46
47,"['bengal', 'bangladesh', 'tamil', 'india', 'sri', 'bengali', 'tamils', 'indian', 'jaffna', 'andhra']",45
48,"['hockey', 'field', 'olympics', 'australia', 'players', 'summer', 'medalists', 'olympic', 'commonwealth', 'australian']",45
49,"['shah', 'sultan', 'khan', 'aurangzeb', 'his', 'mughal', 'ahmed', 'ahmad', 'ali', 'he']",44
50,"['species', 'allosaurus', 'genus', 'apatosaurus', 'zebrafish', 'cretaceous', 'mammals', 'bipedalism', 'skull', 'teeth']",43
51,"['station', 'stations', 'channel', 'broadcasting', 'radio', 'programming', 'television', 'format', 'fm', 'network']",41
52,"['brisbane', 'queensland', 'club', 'cowboys', 'season', 'rugby', 'nrl', 'broncos', 'league', 'players']",41
53,"['church', 'baptism', 'anglican', 'churches', 'prayer', 'god', 'faith', 'christ', 'communion', 'catholic']",41
54,"['apple', 'amd', 'software', 'computer', 'ram', 'memory', 'cpc', 'rom', 'ii', 'processor']",40
55,"['batman', 'comics', 'spiderman', 'marvel', 'dc', 'wayne', 'bruce', 'her', 'batmans', 'characters']",40
56,"['footballers', 'primera', 'torres', 'club', 'players', 'divisin', 'copa', 'argentine', 'mens', 'team']",40
57,"['alphabet', 'vowel', 'letters', 'vowels', 'cyrillic', 'languages', 'script', 'consonants', 'consonant', 'arabic']",39
58,"['san', 'diego', 'alameda', 'acapulco', 'california', 'city', 'santa', 'plata', 'town', 'balboa']",37
59,"['ambrose', 'pope', 'church', 'he', 'his', 'catholic', 'roman', 'de', 'christian', 'saint']",37
60,"['artemis', 'apollo', 'aphrodite', 'goddess', 'achilles', 'athena', 'her', 'greek', 'zeus', 'ares']",37
