,Representation,Count
0,"['god', 'just', 'much', 'have', 'about', 'what', 'of', 'to', 'more', 'been']",6583
1,"['nhl', 'puck', 'hockey', 'leafs', 'flyers', 'stats', 'playoffs', 'rangers', 'players', 'league']",1824
2,"['encryption', 'clipper', 'crypto', 'encrypted', 'nsa', 'chip', 'security', 'secure', 'privacy', 'enforcement']",588
3,"['nan', 'none', '', '', '', '', '', '', '', '']",380
4,"['palestinians', 'gaza', 'gazans', 'israelis', 'israeli', 'palestinian', 'israels', 'zionist', 'zionism', 'israel']",353
5,"['motorcycle', 'riding', 'motorcycles', 'ride', 'rider', 'bike', 'bikes', 'rides', 'riders', 'bikers']",314
6,"['newsletter', 'cdc', 'newsgroup', 'newsgroups', 'news', 'mail', 'mailing', 'articles', 'booklet', 'medical']",268
7,"['xterm', 'x11r5', 'xterms', 'xterminals', 'xdm', 'openwindows', 'window', 'libxmulibxmua', 'terminal', 'libxmulibxmuso']",211
8,"['atheism', 'atheist', 'atheists', 'beliefs', 'belief', 'theists', 'theism', 'religious', 'religion', 'religions']",206
9,"['mustang', 'ford', 'chevrolet', 'camaro', 'sedan', 'v6', 'lexus', 'nissan', 'dodge', 'audi']",193
10,"['cassette', 'stereo', 'radio', 'receiver', 'speakers', 'sale', 'price', 'cd', 'audio', 'sony']",183
11,"['homosexuality', 'homosexuals', 'heterosexual', 'homosexual', 'sexuality', 'gays', 'kinseys', 'sexual', 'kinsey', 'gay']",164
12,"['printers', 'printer', 'inkjet', 'printing', 'laserjet', 'prints', 'cartridges', 'hp', 'deskjet', 'deskjets']",155
13,"['huh', 'none', '', '', '', '', '', '', '', '']",144
14,"['firearm', 'firearms', 'guns', 'handgun', 'handguns', 'gun', 'homicides', 'pistol', 'shooting', 'armed']",135
15,"['armenians', 'armenian', 'armenia', 'turks', 'turk', 'genocide', 'kurdish', 'turkish', 'ankara', 'istanbul']",126
16,"['window', 'xterm', 'xtpointer', 'xm', 'xt', 'detailwinwin', 'widget', 'widgets', 'windows', 'screen']",123
17,"['fires', 'explosion', 'fire', 'burning', 'survivors', 'burned', 'fbi', 'propane', 'gas', 'evidence']",122
18,"['msg', 'foods', 'glutamate', 'eating', 'allergic', 'food', 'flavor', 'diet', 'sugar', 'ingredients']",119
19,"['objectively', 'morality', 'objective', 'subjective', 'morals', 'moral', 'definition', 'immoral', 'behaviour', 'behavior']",113
20,"['patients', 'physicians', 'medicine', 'physician', 'clinical', 'doctors', 'medical', 'doctor', 'therapies', 'treatments']",109
21,"['disks', 'harddisk', 'bios', 'seagate', 'disk', 'drives', 'boot', 'floppy', 'fdisk', 'hd']",104
22,"['monitors', 'vga', 'monitor', 'resolutions', 'resolution', 'mac', 'vgasvga', 'adapter', '640x480', 'macintosh']",104
23,"['bitmap', 'jpeg', 'graphics', 'autocad', 'formats', 'raster', 'pixel', 'images', 'viewer', 'file']",97
24,"['sphere', 'geometric', 'intersecting', 'circle', 'splines', 'spline', 'algorithms', 'intersection', '3d', 'coplanar']",97
25,"['nazi', 'hitler', 'nazis', 'reichstag', 'holocaust', 'antisemitism', 'zionism', 'zionist', 'himmler', 'limbaugh']",97
26,"['windows', 'os', 'win16', 'winos2', 'microsoft', 'dos', 'workstation', 'os2', 'ms', 'pc']",93
27,"['xfree86', 'unix', 'xconfig', 'linux', 'xwindows', 'os', 'x11', 'binaries', 'x11r4', 'x386']",92
28,"['bikes', 'bike', 'motorcycle', 'motorcycles', 'kawasaki', 'honda', 'yamaha', 'harley', 'riding', '750']",84
29,"['bosnia', 'serbs', 'bosnians', 'bosniaherzegovina', 'bosnian', 'serbia', 'yugoslavia', 'croats', 'serbian', 'sarajevo']",82
30,"['mohammed', 'muhammad', 'prophethood', 'muslim', 'islam', 'quran', 'islamic', 'prophet', 'allah', 'muslims']",80
31,"['simms', 'simm', 'ram', 'vram', '4mb', 'memory', '2mb', '1mb', 'motherboard', 'dram']",77
32,"['sega', 'nintendo', 'arcade', 'joysticks', 'joystick', 'games', 'controllers', 'cd', 'sale', 'buy']",77
