,Representation,Count
0,"['pandemic', 'covid19', 'crisis', 'election', 'coronavirus', 'may', 'virus', 'trump', 'president', 'trumps']",6822
1,"['biden', 'bidens', 'presidential', 'presidency', 'nominee', 'candidates', 'trump', 'election', 'polls', 'electoral']",261
2,"['recipe', 'recipes', 'dishes', 'meal', 'cooking', 'dish', 'dinner', 'pasta', 'noodles', 'garlic']",259
3,"['coronavirus', 'pandemic', 'covid', 'outbreak', 'pence', 'presidents', 'virus', 'trump', 'covid19', 'president']",231
4,"['animals', 'birds', 'species', 'animal', 'dogs', 'mammals', 'natures', 'creatures', 'bird', 'predators']",228
5,"['museums', 'galleries', 'museum', 'exhibition', 'paintings', 'gallery', 'art', 'photographs', 'mural', 'arts']",205
6,"['vaccine', 'vaccines', 'vaccination', 'vaccinations', 'vaccinated', 'coronavirus', 'covid', 'covid19', 'fda', 'shots']",171
7,"['trump', 'presidency', 'trumps', 'donald', 'trumpism', 'president', 'presidents', 'election', 'politics', 'voters']",141
8,"['novels', 'nonfiction', 'books', 'literature', 'novelist', 'novelists', 'novel', 'book', 'reading', 'fiction']",141
9,"['chef', 'culinary', 'recipes', 'chefs', 'cuisines', 'cuisine', 'cooks', 'cooking', 'cook', 'kitchens']",131
10,"['holidays', 'holiday', 'thanksgiving', 'christmas', 'thanksgivings', 'kwanzaa', 'halloween', 'easter', 'celebrations', 'santa']",117
11,"['parenting', 'parents', 'children', 'pandemic', 'families', 'childrens', 'kids', 'parent', 'childs', 'adolescents']",115
12,"['coronavirus', 'outbreak', 'ny', 'nyc', 'staten', 'york', 'blasio', 'nycs', 'virus', 'yorkers']",115
13,"['fashion', 'fashions', 'dress', 'designers', 'wear', 'designer', 'clothing', 'dressing', 'balenciaga', 'tailoring']",112
14,"['manhattan', 'diary', 'york', 'yorks', 'tales', 'brooklyn', 'citys', 'city', 'metropolitan', 'place']",106
15,"['masks', 'mask', 'maskwearing', 'face', 'wear', 'faces', 'expose', 'wearing', 'protect', 'shields']",104
16,"['sanders', 'bernie', 'sanderss', 'bernies', 'democrats', 'democratic', 'primaries', 'presidential', 'socialist', 'clinton']",103
