,Representation,Count
0,"['war', 'world', 'history', 'people', 'american', 'british', 'united', 'national', 'government', 'city']",2692
1,"['albums', 'songs', 'band', 'album', 'bands', 'vocals', 'guitar', 'drums', 'rock', 'music']",541
2,"['programming', 'computers', 'program', 'software', 'computer', 'hardware', 'cpu', 'algorithms', 'binary', 'algorithm']",350
3,"['istanbul', 'anatolia', 'turkey', 'ankara', 'turkish', 'turks', 'kurdish', 'ottoman', 'constantinople', 'armenia']",225
4,"['antidepressants', 'benzodiazepines', 'antibiotics', 'antibiotic', 'drug', 'treatment', 'clinical', 'disorders', 'drugs', 'amphetamine']",207
5,"['aberdeen', 'belfast', 'cornwall', 'scotland', 'ireland', 'cardiff', 'cornish', 'wales', 'scottish', 'north']",207
6,"['hitchcock', 'films', 'hitchcocks', 'film', 'thriller', 'movie', 'director', 'cast', 'directed', 'actresses']",174
7,"['berlin', 'aachen', 'berlins', 'brandenburg', 'prussia', 'nuremberg', 'rhinewestphalia', 'germany', 'german', 'area']",121
8,"['manga', 'anime', 'toriyama', 'dragon', 'characters', 'saber', 'chiyo', 'japanese', 'character', 'morita']",107
9,"['novels', 'novel', 'literature', 'novelists', 'books', 'book', 'writer', 'writers', 'literary', 'fiction']",104
10,"['manhattan', 'york', 'borough', 'bronx', 'ny365', 'falmouth', 'broadway', 'northwest', 'highway', 'parkway']",90
11,"['fighter', 'fighters', 'kof', 'capcom', 'fighting', 'king', 'arcade', 'playstation', 'gameplay', 'tournament']",88
12,"['nsw', 'sydney', 'electorate', 'constituencies', 'victoria', 'australian', 'electorates', 'ballarat', 'australia', 'macquarie']",88
13,"['battle', '1924', '1930', '1926', 'william', '1928', '1963', '16011900', 'cavalry', '1942']",84
14,"['concrete', 'cement', 'materials', 'asphalt', 'bricks', 'bitumen', 'material', 'dust', 'brick', 'masonry']",82
15,"['chinese', 'qing', 'zhou', 'confuciuss', 'confucianism', 'confucius', 'tian', 'shang', 'qin', 'confucian']",75
16,"['schools', 'grades', 'districts', 'enrollment', 'superintendent', 'school', 'district', 'students', 'grade', 'teachers']",74
17,"['nfl', 'quarterback', 'ravens', 'linebacker', 'cowboys', 'redskins', 'coaching', 'eagles', 'packers', '49ers']",73
18,"['bmw', 'volkswagen', 'toyota', 'aston', 'audi', 'automobile', 'manufacturers', 'ford', 'vehicles', 'cars']",72
19,"['brassicaceae', 'liliaceae', 'asteraceae', 'botanical', 'phylogeny', 'flowering', 'plants', 'flora', 'genus', 'angiosperm']",71
20,"['balkans', 'balkan', 'yugoslavia', 'serbia', 'adriatic', 'croatia', 'croats', 'bosnia', 'croatian', 'bulgaria']",68
21,"['cricketer', 'batsman', 'bangladeshi', 'odi', 'cricketers', 'bowler', 'sharma', 'cricket', 'wickets', 'bangladesh']",64
22,"['bomber', 'aircraft', 'armoured', 'ballistic', 'artillery', 'bombers', 'missile', 'weapons', 'weapon', 'armored']",63
23,"['albertosaurus', 'amphibians', 'allosaurus', 'apatosaurus', 'species', 'salamanders', 'mammals', 'fossil', 'frogs', 'bear']",61
24,"['bnp', 'socialist', 'liberal', 'bnps', 'conservatives', 'minister', 'conservative', 'parties', 'gladstone', 'mps']",59
25,"['muhammad', 'caliph', 'muhammads', 'ibn', 'muslim', 'caliphate', 'arab', 'islamic', 'quran', 'allah']",57
26,"['specification', 'standards', 'iec', 'certification', 'safetyrelated', 'ansi', 'safety', 'requirements', 'standard', 'engineering']",57
27,"['astronomical', 'astronomy', 'astronomers', 'constellations', 'astrology', 'constellation', 'celestial', 'stars', 'cosmic', 'cosmology']",57
28,"['einstein', 'einsteins', 'sciences', 'scientists', 'linnaeus', 'linnaeuss', 'mathematicians', 'nobel', 'physics', 'scientific']",56
29,"['colombia', 'colombias', 'brasilia', 'chile', 'bolivia', 'colombian', 'venezuela', 'brazil', 'brazilian', 'andes']",55
30,"['san', 'alameda', 'californias', 'california', 'diego', 'mexico', 'francisco', 'mexican', 'beach', 'rancho']",55
31,"['birds', 'bird', 'plumage', 'eagleowls', 'owls', 'species', 'eagle', 'eagleowl', 'nests', 'owl']",55
32,"['relegated', 'league', 'birmingham', 'midlands', 'clubs', 'staffordshire', 'club', 'division', 'shropshire', 'midland']",54
33,"['aarhus', 'copenhagen', 'denmark', 'jutland', 'copenhagens', 'denmarks', 'sweden', 'danish', 'norway', 'viking']",54
34,"['symphonies', 'symphony', 'orchestral', 'orchestra', 'orchestras', 'concerto', 'symphonic', 'philharmonic', 'composer', 'composers']",53
35,"['testament', 'bible', 'biblical', 'ezekiel', 'revelation', 'hebrew', 'verses', 'prophets', 'mormon', 'prophecy']",52
36,"['sunderland', 'liverpool', 'chelsea', 'relegation', 'manchester', 'everton', 'united', 'tottenham', 'hotspur', 'watford']",49
37,"['tamil', 'lanka', 'assam', 'tamils', 'bengal', 'andhra', 'bangladesh', 'india', 'hindu', 'lankan']",49
38,"['olympics', 'olympic', 'hockey', 'sportsmen', 'sportspeople', 'medallists', 'medalists', 'davies', 'badminton', 'medal']",48
39,"['cameroon', 'burkina', 'niger', 'congo', 'cameroons', 'africa', 'botswana', 'faso', 'botswanas', 'nigeria']",48
40,"['batman', 'batmans', 'gotham', 'superhero', 'joker', 'superheroes', 'superman', 'comics', 'spiderman', 'marvel']",47
41,"['prussia', 'albert', 'alberts', 'albertus', 'frederick', 'magnus', 'brandenburg', 'otto', 'alfred', 'saxony']",46
42,"['mughal', 'ahmad', 'ahmed', 'mughals', 'mahmud', 'shah', 'akbar', 'mustafa', 'sultan', 'abbas']",46
43,"['mlb', 'sox', 'baseball', 'yankees', 'ruth', 'baseman', 'braves', 'ruths', 'inning', 'phillies']",46
44,"['judicial', 'statutes', 'laws', 'courts', 'constitutional', 'law', 'appellate', 'jurisdictions', 'constitution', 'enforcement']",45
45,"['battleships', 'battleship', 'naval', 'frigate', 'fleet', 'navy', 'ships', 'torpedoes', 'cruisers', 'navies']",44
46,"['islands', 'caribbean', 'island', 'cayman', 'bahamas', 'bermudas', 'archipelago', 'territories', 'bermuda', 'reefs']",44
47,"['anglican', 'baptism', 'communion', 'anglicans', 'catholic', 'apostolic', 'church', 'sacrament', 'denominations', 'theology']",43
48,"['climate', 'meteorological', 'meteorology', 'warming', 'atmospheric', 'weather', 'atmosphere', 'environmental', 'temperature', 'greenhouse']",42
49,"['boca', 'atletico', 'argentine', 'torres', 'primera', 'deportivo', 'segunda', 'buenos', 'liga', 'nacional']",41
50,"['pope', 'jesuit', 'bishops', 'catholic', 'theologians', 'popes', 'archbishop', 'bishop', 'roman', 'theology']",41
51,"['river', 'tributaries', 'tributary', 'rivers', 'watershed', 'wisconsin', 'creek', 'indiana', 'iowa', 'illinois']",41
52,"['radio', 'stations', 'fm', 'station', 'wdtw', 'newscasts', 'broadcasting', 'simulcast', 'broadcast', 'newscast']",41
53,"['nrl', 'brisbanes', 'afl', 'brisbane', 'rugby', 'essendon', 'geelong', 'queensland', 'cowboys', 'premiership']",40
54,"['skaters', 'skater', 'skating', 'olympic', 'olympics', 'skate', 'medalist', 'medalists', 'medals', 'competed']",40
55,"['murders', 'murder', 'poisoning', 'deaths', 'killer', 'died', 'convicted', 'poisoners', 'death', 'victims']",39
56,"['alphabets', 'alphabet', 'consonants', 'vowel', 'consonant', 'vowels', 'phonetic', 'diacritics', 'unicode', 'syllable']",39
57,"['oblast', 'moscow', 'novomoskovsk', 'novgorod', 'lesogorsk', 'nizhny', 'russian', 'krasnoyarsk', 'russia', 'ukraine']",38
58,"['heavyweight', 'middleweight', 'welterweight', 'boxing', 'boxer', 'ufc', 'tko', 'wrestlers', 'hogan', 'fighter']",38
59,"['goddesses', 'athena', 'goddess', 'zeus', 'artemis', 'mythology', 'greek', 'greeks', 'athens', 'gods']",37
60,"['skier', 'skiing', 'ski', 'slalom', 'skiers', 'skied', 'olympics', 'olympic', 'competed', 'medals']",37
61,"['ndp', 'mackenzie', 'ontario', 'provincial', 'alberta', 'quebec', 'canadian', 'manitoba', 'councillor', 'bennett']",37
62,"['philosophers', 'author', 'scholar', 'william', 'writer', 'professor', 'philosophy', 'feminist', 'lovelace', 'byron']",36
63,"['connecticut', 'senator', 'reelection', 'andrew', 'governor', 'whig', 'senate', 'senators', '1868', 'lincoln']",35
64,"['liberia', 'liberian', 'liberiantla', 'liberians', 'counties', 'districts', 'district', 'county', 'monrovia', 'grand']",35
65,"['zimbabwean', 'zimbabwe', 'nairobi', 'constituency', 'ghanaian', 'malawi', 'zanu', 'minister', 'politicians', 'kenya']",34
66,"['awards', 'juno', 'award', 'year', 'concertos', 'album', '1996', '1994', 'reggae', 'winners']",34
67,"['stadium', 'stadiums', 'cricket', 'hyderabad', 'tokyo', 'choi', 'athletics', 'matches', 'suwon', 'odi']",33
68,"['missouri', 'kentucky', 'school', 'kansas', 'georgia', 'central', 'indiana', 'high', 'nebraska', 'tennessee']",33
69,"['bayern', 'bundesliga', 'hoffenheim', 'badenwrttemberg', 'relegated', 'germany', 'munich', 'uefa', 'vfl', 'liga']",33
70,"['edinburgh', 'rugby', 'scottish', 'glasgow', 'scotland', 'uefa', 'premiership', 'clubs', 'club', 'fifa']",32
71,"['norwegian', 'norway', 'oslo', 'bergen', 'danish', 'copenhagen', 'swedish', 'sweden', 'stockholm', 'politician']",32
